Send	eu-ms-001-17:0	eu-ms-001-11:1	eu-ms-001-13:2	eu-ms-001-18:3	eu-ms-001-38:4	eu-ms-001-34:5	eu-ms-001-29:6	eu-ms-001-14:7	eu-ms-001-10:8	eu-ms-018-11:9	eu-ms-018-41:10	eu-ms-018-21:11	eu-ms-018-22:12	eu-ms-018-30:13	eu-ms-018-36:14	eu-ms-018-32:15	eu-ms-018-20:16	eu-ms-018-14:17	eu-ms-018-25:18	eu-ms-018-07:19	eu-ms-018-28:20	eu-ms-022-26:21	eu-ms-022-37:22	eu-ms-022-29:23	eu-ms-022-21:24	eu-ms-022-41:25	eu-ms-022-40:26	eu-ms-022-08:27	eu-ms-022-31:28	eu-ms-022-33:29	eu-ms-026-01:30	eu-ms-026-29:31	
eu-ms-001-17:0 to	0.000	1069.883	1099.716	1016.249	1102.387	1028.491	1029.840	958.079	1052.535	661.388	984.307	769.924	999.229	763.908	29.751	19.250	1124.723	1015.849	705.387	932.591	1054.029	1074.469	1034.534	1106.820	10.713	1131.027	1131.883	1132.595	1135.533	1133.417	1133.818	1133.688	
eu-ms-001-11:1 to	1134.629	0.000	1000.455	1100.274	1023.524	1102.453	1018.376	1019.330	963.659	83.138	1026.626	941.453	885.374	29.789	986.921	736.624	39.804	648.797	1002.837	1014.497	1069.952	12.861	807.839	1045.762	1123.511	1023.380	1131.949	1123.975	1132.967	1131.927	1130.382	1130.997	
eu-ms-001-13:2 to	1135.402	1130.567	0.000	1074.042	1039.821	1013.293	1101.469	1027.489	1026.241	913.608	1040.357	829.429	937.405	916.427	983.603	965.679	52.908	7.921	648.785	80.642	53.679	1126.952	72.082	883.406	690.991	1122.433	1043.959	1130.562	1132.337	1132.955	1133.650	1130.866	
eu-ms-001-18:3 to	1134.927	1133.497	1131.982	0.000	1011.842	1042.570	1035.716	1104.710	1015.968	1014.590	985.307	1065.840	837.410	67.272	803.047	981.763	1004.088	6.840	938.991	1125.922	54.146	859.507	1110.706	46.890	1000.205	829.561	1117.963	933.931	1133.253	1124.286	1129.188	1133.503	
eu-ms-001-38:4 to	1130.676	1133.373	1130.826	1136.005	0.000	1067.837	1094.218	1022.953	1052.524	1020.244	1029.598	999.296	1028.973	1017.022	1008.975	729.775	28.208	739.618	9.848	13.464	1135.146	1042.315	1025.321	1087.960	51.047	888.468	53.018	1092.788	748.757	1129.417	1130.490	1133.047	
eu-ms-001-34:5 to	1134.570	1133.424	1132.471	1136.234	1135.392	0.000	996.729	1096.178	1015.258	1040.670	1026.979	1044.357	984.356	1035.260	1027.986	1026.578	927.418	24.354	858.391	14.340	7.740	1126.271	1038.697	1082.140	60.029	1097.625	1051.554	1069.356	1127.663	801.866	1125.168	1135.451	
eu-ms-001-29:6 to	1133.365	1132.296	1128.448	1133.293	1133.750	1132.582	0.000	1075.804	1054.919	1013.865	1046.875	1015.064	1020.072	959.902	1086.680	1022.460	991.812	748.291	12.098	968.999	10.156	943.606	1130.300	955.567	1126.323	1041.189	56.053	1077.089	684.816	1124.357	1057.039	1133.837	
eu-ms-001-14:7 to	1134.685	1132.312	1134.334	1134.642	1134.535	1135.309	1133.716	0.000	1024.711	1024.316	1040.223	1046.055	1028.583	1036.264	969.706	1054.791	18.528	1012.057	759.636	19.931	982.041	47.622	40.959	1134.967	1018.437	1005.949	1065.231	1112.368	893.241	78.405	1127.394	1072.238	
eu-ms-001-10:8 to	1092.252	1135.126	1129.414	1135.801	1128.553	1133.997	1132.698	1133.862	0.000	1057.679	1097.590	1031.433	1096.701	1016.160	1024.794	961.182	45.817	9.877	1011.360	771.254	23.468	1013.051	792.853	967.064	830.998	51.749	811.430	1130.906	1098.703	1054.593	847.257	1130.023	
eu-ms-018-11:9 to	669.179	1101.350	1083.263	1124.852	980.309	981.236	1129.814	1126.950	1128.899	0.000	892.137	1093.432	1018.923	1087.951	1021.069	1039.054	950.173	17.685	7.433	978.511	840.029	64.809	622.289	647.546	707.077	545.920	993.746	839.751	27.603	13.385	9.637	18.436	
eu-ms-018-41:10 to	995.611	1122.475	1132.906	1134.306	1133.190	1131.271	1134.246	1132.697	1133.011	1129.552	0.000	1068.016	1047.463	1020.499	1096.788	1027.567	1027.440	988.295	9.725	1021.695	988.615	925.612	766.230	614.582	964.611	977.314	548.132	8.759	926.027	6.543	1065.685	8.414	
eu-ms-018-21:11 to	14.420	1041.823	680.552	1079.722	1128.646	1133.809	1130.306	1125.220	1132.527	1128.149	1135.679	0.000	1001.294	1044.756	1022.492	1101.764	1034.773	1024.902	984.119	1011.754	1013.175	45.918	873.942	38.055	824.558	823.105	929.518	903.660	15.521	25.883	14.374	15.935	
eu-ms-018-22:12 to	1065.398	16.894	57.116	1112.378	1131.813	1116.734	1131.348	1133.831	1131.009	1132.264	1135.250	1133.585	0.000	1063.450	1097.633	1023.152	1047.014	1022.462	1023.647	969.506	1000.299	866.667	991.177	694.879	48.279	716.863	957.866	51.627	544.287	21.244	1046.160	1047.907	
eu-ms-018-30:13 to	44.685	1016.901	23.892	35.224	911.189	1131.068	1128.829	1131.911	1129.310	1122.643	1134.286	1132.689	1134.674	0.000	1012.595	1098.143	1021.097	1042.558	1030.358	1025.818	963.706	875.237	1000.603	590.368	944.934	930.459	794.160	943.301	912.449	903.857	29.709	66.257	
eu-ms-018-36:14 to	1061.548	1060.585	10.681	9.320	1028.835	682.158	1064.112	1131.907	1128.387	1125.321	1134.318	1133.561	1135.217	1132.703	0.000	1069.351	1033.287	1023.082	1046.484	1027.160	1022.981	867.091	931.599	997.706	569.759	60.416	46.641	989.227	888.768	58.671	1135.142	10.998	
